date,open,high,low,close,volume
16-06-2014,42.000,43.050,41.690,42.850,9845436
06-06-2014,42.250,42.340,41.380,41.740,6281356
02-06-2014,41.840,42.470,41.460,42.360,11116921
26-05-2014,41.010,42.120,40.190,41.790,10219047
19-05-2014,41.340,42.150,41.050,41.110,7096214
12-05-2014,41.200,41.540,40.820,40.960,6037242
05-05-2014,41.250,41.720,40.510,40.980,7478731
28-04-2014,40.080,41.350,40.080,41.080,11658499
17-04-2014,39.170,40.000,39.080,40.000,5112989
14-04-2014,38.710,39.480,38.710,39.080,7936055
07-04-2014,38.770,39.080,38.460,38.840,6400055
31-03-2014,38.320,39.180,38.060,39.020,10233766
24-03-2014,38.230,38.670,37.730,38.640,10154873
17-03-2014,38.890,38.900,37.950,38.010,8397964
10-03-2014,38.420,38.810,37.830,38.710,9846520
03-03-2014,37.990,38.470,37.660,38.320,12434651
24-02-2014,38.800,39.440,37.850,37.990,20349440
17-02-2014,37.660,38.820,37.450,38.580,8236685
10-02-2014,37.010,37.870,36.540,37.730,10210165
03-02-2014,37.990,38.380,37.150,37.550,10016083
24-01-2014,38.600,38.620,37.900,38.130,6801536
20-01-2014,37.500,39.120,37.210,38.800,11531268
13-01-2014,37.630,38.150,37.520,37.570,7023683
06-01-2014,39.050,39.180,37.590,37.700,6060650
30-12-2013,39.000,39.500,38.850,39.170,2738961
23-12-2013,37.620,39.290,37.120,38.900,14192043
16-12-2013,37.780,37.990,37.060,37.220,10536463
09-12-2013,37.100,37.770,36.840,37.400,10743712
02-12-2013,38.570,38.670,36.900,37.000,11902628
25-11-2013,38.300,38.695,37.890,38.420,8339565
18-11-2013,39.130,39.510,38.210,38.450,8933152
11-11-2013,39.090,39.530,39.010,39.160,7053484
04-11-2013,38.750,39.160,38.325,38.800,5386745
28-10-2013,38.390,38.980,38.120,38.800,10435307
21-10-2013,38.530,38.700,37.890,38.340,9961193
14-10-2013,37.600,38.230,36.950,38.040,8147330
07-10-2013,38.310,38.330,37.300,37.550,8028944
30-09-2013,38.330,39.170,38.250,38.310,10293349
23-09-2013,38.600,39.220,38.150,38.720,8505295
16-09-2013,39.200,39.350,38.175,38.880,8109697
09-09-2013,38.500,39.490,38.440,39.200,8360281
02-09-2013,37.600,38.770,37.460,38.540,11428224
26-08-2013,38.650,38.840,37.160,37.780,15237875
19-08-2013,38.500,38.980,37.950,38.700,7255269
12-08-2013,39.140,39.140,38.010,38.380,9336963
05-08-2013,37.600,39.350,37.130,39.220,9025909
29-07-2013,38.350,38.355,37.250,37.500,9867446
22-07-2013,37.500,38.400,37.100,38.230,8330725
15-07-2013,36.500,37.880,36.110,37.550,8746941
08-07-2013,35.250,36.490,34.000,36.190,11305919
01-07-2013,34.590,35.450,33.310,34.750,13090048
24-06-2013,34.690,35.650,34.250,34.260,13976868
17-06-2013,35.200,35.490,34.080,34.910,11962066
07-06-2013,35.860,36.290,34.740,34.930,7442870
03-06-2013,37.000,37.090,35.570,35.880,12009363
27-05-2013,38.080,38.400,36.660,36.830,9574318
20-05-2013,37.460,38.690,37.160,38.280,9848347
13-05-2013,37.420,37.490,36.700,37.350,8786269
06-05-2013,37.910,38.130,36.150,37.180,12757489
29-04-2013,36.412,38.193,35.959,37.937,22770541
22-04-2013,34.542,35.162,33.292,34.050,15648824
15-04-2013,34.640,36.116,34.444,35.428,12648790
08-04-2013,35.546,36.107,34.060,34.306,10344033
28-03-2013,36.067,36.274,35.250,35.250,9518558
25-03-2013,36.008,36.589,35.516,36.274,13204690
18-03-2013,36.805,36.904,35.250,35.870,13045920
11-03-2013,36.530,37.130,35.989,36.795,13108812
04-03-2013,36.038,36.904,35.536,35.929,15293216
25-02-2013,36.825,38.587,35.969,36.412,27863918
18-02-2013,35.428,36.855,35.093,36.687,10992135
11-02-2013,34.512,35.418,34.242,35.339,10028129
04-02-2013,35.369,35.624,34.699,34.896,9021602
25-01-2013,34.926,35.310,34.749,35.182,7061787
21-01-2013,34.365,34.995,34.276,34.749,7797572
14-01-2013,34.227,34.503,33.824,34.296,8152412
07-01-2013,33.883,34.197,33.568,34.050,5939479
31-12-2012,33.282,33.833,33.282,33.341,2268272
24-12-2012,33.666,33.725,32.633,33.272,12860228
17-12-2012,33.459,34.089,33.302,33.459,8989430
10-12-2012,33.804,33.951,33.282,33.391,6548266
03-12-2012,33.095,33.745,32.574,33.568,10176153
26-11-2012,33.322,33.391,32.623,33.282,5866785
19-11-2012,33.755,34.035,32.525,33.026,7745491
12-11-2012,33.686,34.099,33.459,33.627,7166540
05-11-2012,33.705,34.099,33.223,33.676,8093699
29-10-2012,35.093,35.496,33.666,33.804,11284720
22-10-2012,33.804,35.487,33.656,35.044,15316759
15-10-2012,32.485,33.932,32.475,33.755,12039594
08-10-2012,32.721,33.282,32.160,32.456,10643937
01-10-2012,33.125,33.253,32.377,32.672,14538464
24-09-2012,34.119,34.217,33.184,33.459,14422179
17-09-2012,34.266,34.581,33.784,34.345,9241265
10-09-2012,34.030,34.690,33.892,34.463,9728843
03-09-2012,34.296,34.424,33.469,34.030,12533663
27-08-2012,35.004,35.565,34.089,34.148,20440085
20-08-2012,33.656,34.680,33.607,34.562,8294234
13-08-2012,33.646,34.227,32.967,33.656,10317627
06-08-2012,32.771,34.010,32.771,33.509,8012534
30-07-2012,31.639,32.967,31.609,32.682,12638108
23-07-2012,30.163,32.416,29.838,31.816,13180907
16-07-2012,30.330,30.684,29.612,30.074,7160614
09-07-2012,31.107,31.580,30.222,30.330,11269183
02-07-2012,30.556,31.521,29.897,31.304,15524499
25-06-2012,32.387,32.564,30.271,31.019,12972091
